Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,VHAM10D,146.52,,0,,88.5,88.5,23,NN,FM,5,,,,,,
1,VHAM11,145.27,-,0.6,Tone,100,88.5,23,NN,FM,5,,,,,,
2,VHAM11D,145.27,,0,Tone,100,88.5,23,NN,FM,5,,,,,,
3,VHAM12,145.43,-,0.6,Tone,107.2,88.5,23,NN,FM,5,,,,,,
4,VHAM12D,145.43,,0,Tone,107.2,88.5,23,NN,FM,5,,,,,,
5,VHAM13,146.805,+,0.6,Tone,107.2,88.5,23,NN,FM,5,,,,,,
6,VHAM13D,146.805,,0,,88.5,88.5,23,NN,FM,5,,,,,,
7,VHAM14,147.015,+,0.6,Tone,100,88.5,23,NN,FM,5,,,,,,
8,VHAM14D,147.015,-,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
9,VHAM15,147.505,-,2,DTCS,88.5,88.5,226,NN,FM,5,,,,,,
10,VHAM15D,147.505,,0,,88.5,88.5,23,NN,FM,5,,,,,,
11,VHAM16,147.585,,0,Tone,107.2,88.5,23,NN,FM,5,,,,,,
12,VHAM16D,147.585,,0,,88.5,88.5,23,NN,FM,5,,,,,,
13,UHAM40D,446,,0,,88.5,88.5,23,NN,FM,5,,,,,,
14,UHAM41,443.075,+,5,Tone,107.2,88.5,23,NN,FM,5,,,,,,
15,UHAM41D,443.075,,0,,88.5,88.5,23,NN,FM,5,,,,,,
16,UHAM42,445.6625,,0,Tone,107.2,88.5,23,NN,FM,5,,,,,,
17,UHAM42D,445.6625,,0,,88.5,88.5,23,NN,FM,5,,,,,,
18,CAPTN0D,144.91,,0,,88.5,88.5,23,NN,FM,5,,,,,,
19,CAPTN1D,146.535,,0,,88.5,88.5,23,NN,FM,5,,,,,,
20,CAPTN2D,146.595,,0,,88.5,88.5,23,NN,FM,5,,,,,,
21,CAPTN3D,147.51,,0,TSQL,100,100,23,NN,FM,5,,,,,,
22,VPKT11D,145.59,,0,,88.5,88.5,23,NN,FM,5,,,,,,
23,VPKT12D,145.75,,0,,88.5,88.5,23,NN,FM,5,,,,,,
24,VPKT13D,145.79,,0,,88.5,88.5,23,NN,FM,5,,,,,,
25,APRS,144.39,,0,,88.5,88.5,23,NN,FM,5,,,,,,
26,UPKT41D,439.6,,0,,88.5,88.5,23,NN,FM,5,,,,,,
27,UGMRS41,462.575,,0,Tone,107.2,88.5,23,NN,FM,5,,,,,,
28,CERT1,451.0375,+,5,Tone,67,88.5,23,NN,NFM,5,,,,,,
29,CERT1D,451.0375,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
30,CERT2D,451.625,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
31,CERT3D,454.475,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
32,FRS1D,462.5625,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
33,FRS2D,462.5875,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
34,FRS3D,462.6125,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
35,FRS4D,462.6375,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
36,FRS5D,462.6625,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
37,FRS6D,462.6875,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
38,FRS7D,462.7125,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
39,FRS8D,467.5625,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
40,FRS9D,467.5875,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
41,FRS10D,467.6125,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
42,FRS11D,467.6375,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
43,FRS12D,467.6625,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
44,FRS13D,467.6875,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
45,FRS14D,467.7125,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
46,FRS15D,462.55,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
47,FRS16D,462.575,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
48,FRS17D,462.6,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
49,FRS18D,462.625,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
50,FRS19D,462.65,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
51,FRS20D,462.675,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
52,FRS21D,462.7,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
53,FRS22D,462.725,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
